element_type,osmid,amenity,name,parking,geometry,brand,brand:wikidata,brand:wikipedia,operator,operator:wikidata,operator:wikipedia,short_name,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,cuisine,level,phone,website,healthcare,opening_hours,brand:zh,name:en,name:zh,addr:country,branch,addr:housename,addr:unit,atm,diet:vegan,diet:vegetarian,outdoor_seating,official_name,takeaway,fixme,description,air_conditioning,delivery,diet:non-vegetarian,email,image,name:ja,opening_hours:covid19,nodes
node,3076650793,parking_entrance,MBFC Tower 2 Car Park,multi-storey,POINT (103.8538853 1.2793649),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3786394175,atm,Citibank,,POINT (103.8512515 1.2793473),Citibank,Q857063,en:Citibank,Citibank,Q857063,en:Citibank,Citi,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3799001599,restaurant,Extra Virgin Pizza,,POINT (103.8513051 1.2789263),,,,,,,,yes,Singapore,"#01-04, Asia Square Tower 1, 8",018960,Marina View,pizza,0,+65 6247 5757,https://www.extravirginpizza.com/,,,,,,,,,,,,,,,,,,,,,,,,,
node,3814776572,pharmacy,Watsons,,POINT (103.8511856 1.2792415),Watsons,Q7974785,en:Watsons,,,,,yes,Singapore,"#02-07, Asia Square Tower 1, 8",018960,Marina View,,,+65 6636 1029,https://www.watsons.com.sg/,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,
node,3816408481,bank,OCBC Bank (MBFC),,POINT (103.8535232 1.2792633),,,,OCBC,,,,yes,Singapore,"#01-04, Marina Bay Financial Centre Tower 2, 10",018983,Marina Boulevard,,,+65 1800 363 3333,http://www.ocbc.com.sg,,Mo-Fr 09:00-16:30; Sa 09:00-11:30,,,,,,,,,,,,,,,,,,,,,,,
node,3818327356,restaurant,Three Blind Pigs,,POINT (103.8510616 1.2788365),,,,,,,,,Singapore,,018960,Marina View,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3840261793,restaurant,Imperial Treasure Super Peking Duck,,POINT (103.8513351 1.2791503),,,,,,,,,Singapore,"#02-08/09/10 Asia Square Tower 1, 8",018960,Marina View,chinese,,+65 6636 1868,http://www.imperialtreasure.com/,,,,,,,,,,,,,,,,,,,,,,,,,
node,4357427255,bicycle_parking,Asia Square Tower Level 3/4,,POINT (103.8511124 1.278525),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4540811290,bank,UOB,,POINT (103.8538641 1.2795924),UOB,Q2064074,en:United Overseas Bank,,,,,,,,,,,,,,,,大华银行,UOB Bank,大华银行,,,,,,,,,,,,,,,,,,,,
node,4869133651,atm,UOB,,POINT (103.8546944 1.2757471),UOB,Q2064074,en:United Overseas Bank,UOB,Q2064074,en:United Overseas Bank,,,Singapore,21,18990,Marina Station Road,,,1800 222 2121,,,,大华银行,,大华银行,SG,Marina Bay MRT Station,,,,,,,,,,,,,,,,,,
node,4869134402,bank,UOB,,POINT (103.8538608 1.2795876),UOB,Q2064074,en:United Overseas Bank,,,,,yes,Singapore,10,18983,Marina Boulevard,,,1800 222 2121,,,,大华银行,,大华银行,SG,Marina Bay Financial Centre,Marina Bay Financial Centre Tower 2,#01-01/02/04,yes,,,,,,,,,,,,,,,
